rank,team,points,confederation,,#,Nation,Squad size,Avg. age,Total value,Confederation,Points,,Nation,,
1,Belgium,1780,UEFA,,1  ,Belgium Belgium,26,29.2,£600.66m,UEFA,1822,,Belgium Belgium,,Belgium Belgium
2,France,1755,UEFA,,2  ,Brazil Brazil,25,27.9,£787.95m,CONMEBOL,1798,,Brazil Brazil,,
3,Brazil,1743,CONMEBOL,,3  ,France France,26,28.1,£925.20m,UEFA,1762,,France France,,
4,England,1670,UEFA,,4  ,England England,26,25.5,£1.16bn,UEFA,1753,,England England,,
5,Portugal,1662,UEFA,,5  ,Italy Italy,26,27.9,£695.70m,UEFA,1745,,Italy Italy,,
6,Spain,1645,UEFA,,6  ,Argentina Argentina,28,27.8,£598.95m,CONMEBOL,1714,,Argentina Argentina,,
7,Argentina,1642,CONMEBOL,,7  ,Spain Spain,24,26.7,£839.70m,UEFA,1680,,Spain Spain,,
8,Uruguay,1639,CONMEBOL,,8  ,Portugal Portugal,26,27.9,£747.45m,UEFA,1662,,Portugal Portugal,,
9,Mexico,1632,CONCACAF,,9  ,Mexico Mexico,23,28.1,£118.44m,CONCACAF,1658,,Mexico Mexico,,
10,Italy,1625,UEFA,,10  ,United States USA,23,24.6,£65.30m,CONCACAF,1648,,United States USA,,
11,Croatia,1617,UEFA,,11  ,Denmark Denmark,26,27.9,£297.63m,UEFA,1642,,Denmark Denmark,,
12,Denmark,1614,UEFA,,12  ,Netherlands Netherlands,25,26.2,£582.53m,UEFA,1637,,Netherlands Netherlands,,
13,Germany,1610,UEFA,,13  ,Uruguay Uruguay,30,27.1,£365.22m,CONMEBOL,1635,,Uruguay Uruguay,,
14,Netherlands,1609,UEFA,,14  ,Switzerland Switzerland,25,26.9,£258.75m,UEFA,1621,,Switzerland Switzerland,,
15,Colombia,1601,CONMEBOL,,15  ,Colombia Colombia,28,28.2,£264.42m,CONMEBOL,1618,,Colombia Colombia,,
16,Switzerland,1593,UEFA,,16  ,Germany Germany,25,27.6,£806.85m,UEFA,1613,,Germany Germany,,
17,Chile,1567,CONMEBOL,,17  ,Sweden Sweden,23,28.5,£191.75m,UEFA,1607,,Sweden Sweden,,
18,Wales,1562,UEFA,,18  ,Croatia Croatia,26,28,£339.12m,UEFA,1594,,Croatia Croatia,,
19,Poland,1559,UEFA,,19  ,Wales Wales,27,25.8,£159.35m,UEFA,1567,,Wales Wales,,
20,Senegal,1558,CAF,,20  ,Chile Chile,29,27.5,£82.06m,CONMEBOL,1558,,Chile Chile,,
21,Sweden,1558,UEFA,,21  ,Senegal Senegal,20,27.6,£269.10m,CAF,1545,,Senegal Senegal,,
22,United States,1548,CONCACAF,,22  ,Peru Peru,26,27.8,£57.85m,CONMEBOL,1543,,Peru Peru,,
23,Austria,1531,UEFA,,23  ,Austria Austria,26,28.1,£289.17m,UEFA,1535,,Austria Austria,,
24,Ukraine,1521,UEFA,,24  ,Japan Japan,37,27.3,£131.31m,AFC,1529,,Japan Japan,,
25,Peru,1512,CONMEBOL,,25  ,Ukraine Ukraine,25,26.2,£188.73m,UEFA,1523,,Ukraine Ukraine,,
26,Tunisia,1503,CAF,,26  ,Iran Iran,29,27.9,£71.66m,AFC,1522,,Iran Iran,,
27,Japan,1502,AFC,,27  ,Poland Poland,25,27.3,£229.32m,UEFA,1516,,Poland Poland,,
28,Venezuela,1501,CONMEBOL,,28  ,Tunisia Tunisia,29,26.1,£52.74m,CAF,1515,,Tunisia Tunisia,,
29,Iran,1496,AFC,,29  ,Serbia Serbia,20,24.8,£89.19m,UEFA,1507,,Serbia Serbia,,
30,Serbia,1492,UEFA,,30  ,Algeria Algeria,31,28.8,£174.51m,CAF,1499,,Algeria Algeria,,
31,Algeria,1488,CAF,,31  ,Czech Republic Czech Republic,25,27.5,£171.45m,UEFA,1493,,Czech Republic Czech Republic,,
32,Turkey,1487,UEFA,,32  ,Morocco Morocco,26,27.2,£214.65m,CAF,1488,,Morocco Morocco,,
33,Morocco,1481,CAF,,33  ,Paraguay Paraguay,28,27.4,£100.17m,CONMEBOL,1483,,Paraguay Paraguay,,
34,Slovakia,1478,UEFA,,34  ,Nigeria Nigeria,25,22.3,£270Th.,CAF,1480,,Nigeria Nigeria,,
35,Paraguay,1476,CONMEBOL,,35  ,Australia Australia,31,28.3,£35.64m,AFC,1477,,Australia Australia,,
36,Nigeria,1474,CAF,,36  ,South Korea South Korea,27,28.5,£115.56m,AFC,1475,,South Korea South Korea,,
37,Romania,1466,UEFA,,37  ,Hungary Hungary,26,28.3,£71.37m,UEFA,1474,,Hungary Hungary,,
38,Korea Republic,1465,AFC,,38  ,Slovakia Slovakia,26,28.4,£117.99m,UEFA,1467,,Slovakia Slovakia,,
39,Russia,1461,UEFA,,39  ,Turkey Turkey,26,25.2,£292.50m,UEFA,1464,,Turkey Turkey,,
40,Hungary,1460,UEFA,,40  ,Venezuela Venezuela,33,26,£67.14m,CONMEBOL,1463,,Venezuela Venezuela,,
41,Australia,1457,AFC,,41  ,Russia Russia,26,28,£172.62m,UEFA,1462,,Russia Russia,,
42,Republic of Ireland,1456,UEFA,,42  ,Qatar Qatar,23,26.7,£16.04m,AFC,1455,,Qatar Qatar,,
43,Czech Republic,1456,UEFA,,43  ,Norway Norway,24,25.6,£247.41m,UEFA,1450,,Norway Norway,,
44,Norway,1450,UEFA,,44  ,Costa Rica Costa Rica,23,26.9,£5.09m,CONCACAF,1450,,Costa Rica Costa Rica,,
45,Northern Ireland,1440,UEFA,,45  ,Romania Romania,25,27.5,£64.58m,UEFA,1440,,Romania Romania,,
46,Iceland,1438,UEFA,,46  ,Egypt Egypt,27,28.5,£135.86m,CAF,1433,,Egypt Egypt,,
47,Jamaica,1437,CONCACAF,,47  ,Republic of Ireland Ireland,26,25.7,£64.33m,UEFA,1429,,Republic of Ireland Ireland,,
48,Scotland,1436,UEFA,,48  ,Greece Greece,24,27,£85.01m,UEFA,1427,,Greece Greece,,
49,Egypt,1432,CAF,,49  ,Scotland Scotland,26,27.5,£243.00m,UEFA,1425,,Scotland Scotland,,
50,Costa Rica,1427,CONCACAF,,50  ,Jamaica Jamaica,23,27.9,£64.71m,CONCACAF,1423,,Jamaica Jamaica,,
51,Cameroon,1427,CAF,,51  ,Northern Ireland N. Ireland,25,25.7,£21.56m,UEFA,1422,,Northern Ireland N. Ireland,,
52,Ghana,1424,CAF,,52  ,Ghana Ghana,33,25,£116.30m,CAF,1421,,Ghana Ghana,,
53,Greece,1413,UEFA,,53  ,Iceland Iceland,24,25,£19.15m,UEFA,1418,,Iceland Iceland,,
54,Mali,1412,CAF,,54  ,Cameroon Cameroon,26,26.2,£81.14m,CAF,1411,,Cameroon Cameroon,,
55,Finland,1411,UEFA,,55  ,Ecuador Ecuador,29,26.9,£69.44m,CONMEBOL,1405,,Ecuador Ecuador,,
56,Bosnia-Herzegovina,1410,UEFA,,56  ,Finland Finland,26,28.2,£40.19m,UEFA,1404,,Finland Finland,,
57,Ecuador,1409,CONMEBOL,,57  ,Ivory Coast Ivory Coast,26,28.5,£269.44m,CAF,1403,,Ivory Coast Ivory Coast,,
58,Qatar,1391,AFC,,58  ,Bosnia-Herzegovina Bosnia,22,25.8,£66.65m,UEFA,1402,,Bosnia-Herzegovina Bosnia,,
59,Burkina Faso,1391,CAF,,59  ,Canada Canada,23,26.2,£48.17m,CONCACAF,1399,,Canada Canada,,
60,Congo DR,1386,CAF,,60  ,Mali Mali,25,25.2,£47.66m,CAF,1393,,Mali Mali,,
61,CÃ´te d'Ivoire,1384,CAF,,61  ,Saudi Arabia Saudi Arabia,24,26.6,£26.10m,AFC,1386,,Saudi Arabia Saudi Arabia,,
62,Slovenia,1379,UEFA,,62  ,Burkina Faso Burkina Faso,28,26.6,£72.52m,CAF,1384,,Burkina Faso Burkina Faso,,
63,Montenegro,1370,UEFA,,63  ,Honduras Honduras,23,29.1,£10.67m,CONCACAF,1378,,Honduras Honduras,,
64,Honduras,1367,CONCACAF,,64  ,El Salvador El Salvador,20,25.1,£855Th.,CONCACAF,1375,,El Salvador El Salvador,,
65,North Macedonia,1362,UEFA,,65  ,Democratic Republic of the Congo DR Congo,34,27.5,£44.53m,CAF,1373,,Democratic Republic of the Congo DR Congo,,
66,Albania,1360,UEFA,,66  ,Slovenia Slovenia,23,26.4,£106.16m,UEFA,1371,,Slovenia Slovenia,,
67,Saudi Arabia,1353,AFC,,67  ,Montenegro Montenegro,23,27.7,£14.69m,UEFA,1363,,Montenegro Montenegro,,
68,Bulgaria,1350,UEFA,,68  ,United Arab Emirates U. A. E.,23,29.1,£20.18m,AFC,1362,,United Arab Emirates U. A. E.,,
69,Iraq,1348,AFC,,69  ,Albania Albania,24,26.2,£58.48m,UEFA,1360,,Albania Albania,,
