rank ,team,points,squad_size,avg_age,total_valueEUmillion,confederation
1,Belgium,1822,26,29.2,600.66,UEFA
2,Brazil,1798,25,27.9,787.95,CONMEBOL
3,France,1762,26,28.1,925.2,UEFA
4,England,1753,26,25.5,1160,UEFA
5,Italy,1745,26,27.9,695.7,UEFA
6,Argentina,1714,28,27.8,598.95,CONMEBOL
7,Spain,1680,24,26.7,839.7,UEFA
8,Portugal,1662,26,27.9,747.45,UEFA
9,Mexico,1658,23,28.1,118.44,CONCACAF
10,USA,1648,23,24.6,65.3,CONCACAF
11,Denmark,1642,26,27.9,297.63,UEFA
12,Netherlands,1637,25,26.2,582.53,UEFA
13,Uruguay,1635,30,27.1,365.22,CONMEBOL
14,Switzerland,1621,25,26.9,258.75,UEFA
15,Colombia,1618,28,28.2,264.42,CONMEBOL
16,Germany,1613,25,27.6,806.85,UEFA
17,Sweden,1607,23,28.5,191.75,UEFA
18,Croatia,1594,26,28,339.12,UEFA
19,Wales,1567,27,25.8,159.35,UEFA
20,Chile,1558,29,27.5,82.06,CONMEBOL
21,Senegal,1545,20,27.6,269.1,CAF
22,Peru,1543,26,27.8,57.85,CONMEBOL
23,Austria,1535,26,28.1,289.17,UEFA
24,Japan,1529,37,27.3,131.31,AFC
25,Ukraine,1523,25,26.2,188.73,UEFA
26,IR Iran,1522,29,27.9,71.66,AFC
27,Poland,1516,25,27.3,229.32,UEFA
28,Tunisia,1515,29,26.1,52.74,CAF
29,Serbia,1507,20,24.8,89.19,UEFA
30,Algeria,1499,31,28.8,174.51,CAF
31,Czech Republic,1493,25,27.5,171.45,UEFA
32,Morocco,1488,26,27.2,214.65,CAF
33,Paraguay,1483,28,27.4,100.17,CONMEBOL
34,Nigeria,1480,25,22.3,0.27,CAF
35,Australia,1477,31,28.3,35.64,AFC
36,Korea Republic,1475,27,28.5,115.56,AFC
37,Hungary,1474,26,28.3,71.37,UEFA
38,Slovakia,1467,26,28.4,117.99,UEFA
39,Turkey,1464,26,25.2,292.5,UEFA
40,Venezuela,1463,33,26,67.14,CONMEBOL
41,Russia,1462,26,28,172.62,UEFA
42,Qatar,1455,23,26.7,16.04,AFC
43,Norway,1450,24,25.6,247.41,UEFA
44,Costa Rica,1450,23,26.9,5.09,CONCACAF
